"2022-04-13_longtermsulfite_115019 - RawData"
"Wavelength nm.","Abs."
190.00,3.30849
191.00,3.32823
192.00,3.83568
193.00,3.79230
194.00,3.75819
195.00,3.75801
196.00,3.82916
197.00,3.88249
198.00,3.82973
199.00,3.94289
200.00,3.88216
201.00,3.92708
202.00,3.92392
203.00,3.89801
204.00,3.92166
205.00,3.95668
206.00,3.95609
207.00,3.89096
208.00,3.93581
209.00,3.96701
210.00,3.97649
211.00,3.97542
212.00,3.97987
213.00,3.97264
214.00,3.97235
215.00,3.97502
216.00,3.96269
217.00,3.96698
218.00,3.95888
219.00,3.95340
220.00,3.90942
221.00,3.73759
222.00,3.29251
223.00,2.85088
224.00,2.43738
225.00,2.11125
226.00,1.83582
227.00,1.59790
228.00,1.40976
229.00,1.26318
230.00,1.15157
231.00,1.07133
232.00,1.01778
233.00,0.99022
234.00,0.98325
235.00,0.99611
236.00,1.02559
237.00,1.07013
238.00,1.12886
239.00,1.20001
240.00,1.28212
241.00,1.37828
242.00,1.48410
243.00,1.59581
244.00,1.71844
245.00,1.84956
246.00,1.98343
247.00,2.11806
248.00,2.25430
249.00,2.38866
250.00,2.51631
251.00,2.64082
252.00,2.75430
253.00,2.86110
254.00,2.96417
255.00,3.05255
256.00,3.13251
257.00,3.20334
258.00,3.24879
259.00,3.29720
260.00,3.36905
261.00,3.42259
262.00,3.42682
263.00,3.44426
264.00,3.45706
265.00,3.45262
266.00,3.48074
267.00,3.47060
268.00,3.48410
269.00,3.45464
270.00,3.48381
271.00,3.42014
272.00,3.40137
273.00,3.41249
274.00,3.40366
275.00,3.38974
276.00,3.31642
277.00,3.28851
278.00,3.24213
279.00,3.19675
280.00,3.12321
281.00,3.07324
282.00,2.99722
283.00,2.92294
284.00,2.83772
285.00,2.74548
286.00,2.64314
287.00,2.53569
288.00,2.43404
289.00,2.32028
290.00,2.21790
291.00,2.09447
292.00,1.97359
293.00,1.85519
294.00,1.73575
295.00,1.61159
296.00,1.48950
297.00,1.37437
298.00,1.25438
299.00,1.14468
300.00,1.03967
301.00,0.94128
302.00,0.84256
303.00,0.75905
304.00,0.67587
305.00,0.59962
306.00,0.53296
307.00,0.47047
308.00,0.41272
309.00,0.36192
310.00,0.31636
311.00,0.27545
312.00,0.23904
313.00,0.20888
314.00,0.18288
315.00,0.15886
316.00,0.13814
317.00,0.12100
318.00,0.10641
319.00,0.09381
320.00,0.08363
321.00,0.07547
322.00,0.06854
323.00,0.06329
324.00,0.05904
325.00,0.05537
326.00,0.05243
327.00,0.05019
328.00,0.04828
329.00,0.04659
330.00,0.04538
331.00,0.04433
332.00,0.04327
333.00,0.04253
334.00,0.04176
335.00,0.04109
336.00,0.04056
337.00,0.04015
338.00,0.03966
339.00,0.03926
340.00,0.03879
341.00,0.03856
342.00,0.03835
343.00,0.03793
344.00,0.03775
345.00,0.03745
346.00,0.03717
347.00,0.03705
348.00,0.03680
349.00,0.03664
350.00,0.03650
351.00,0.03636
352.00,0.03612
353.00,0.03593
354.00,0.03577
355.00,0.03568
356.00,0.03555
357.00,0.03549
358.00,0.03549
359.00,0.03540
360.00,0.03519
