# Wavelength     HSO3- Molar Decadic Absorption Coefficient 
#  (nm)   (M$^{-1}$cm$^{-1}$)
207.81 3.951971e+02
208.02 3.887253e+02
208.02 3.851330e+02
208.02 3.815739e+02
208.03 3.772685e+02
208.23 3.710903e+02
208.23 3.676610e+02
208.24 3.642634e+02
208.24 3.601533e+02
208.44 3.542554e+02
208.45 3.509816e+02
208.45 3.477381e+02
208.45 3.445246e+02
208.45 3.406373e+02
208.66 3.350589e+02
208.66 3.319626e+02
208.66 3.288949e+02
208.66 3.251839e+02
208.87 3.198586e+02
208.87 3.169027e+02
208.87 3.139742e+02
208.87 3.104316e+02
209.08 3.053478e+02
209.08 3.025261e+02
209.08 2.997304e+02
209.08 2.963485e+02
209.19 2.914964e+02
209.29 2.888016e+02
209.29 2.861328e+02
209.30 2.834886e+02
209.30 2.802899e+02
209.50 2.756998e+02
209.51 2.731520e+02
209.51 2.706278e+02
209.51 2.675742e+02
209.72 2.631924e+02
209.72 2.607602e+02
209.72 2.583504e+02
209.72 2.554354e+02
209.82 2.512532e+02
209.93 2.489305e+02
209.93 2.466301e+02
209.93 2.438473e+02
210.04 2.398548e+02
210.14 2.376375e+02
210.14 2.354414e+02
210.14 2.332657e+02
210.14 2.306337e+02
210.35 2.268568e+02
210.35 2.247603e+02
210.35 2.226833e+02
210.36 2.201707e+02
210.46 2.165659e+02
210.56 2.145638e+02
210.57 2.125810e+02
210.57 2.101824e+02
210.67 2.067411e+02
210.78 2.048299e+02
210.78 2.029370e+02
210.78 2.010616e+02
210.78 1.987930e+02
210.99 1.955375e+02
210.99 1.937305e+02
210.99 1.919403e+02
210.99 1.897746e+02
211.10 1.866674e+02
211.20 1.849417e+02
211.20 1.832327e+02
211.20 1.811652e+02
211.31 1.781990e+02
211.41 1.765516e+02
211.41 1.749201e+02
211.41 1.729465e+02
211.52 1.701148e+02
211.62 1.685422e+02
211.62 1.669846e+02
211.63 1.654415e+02
211.63 1.635748e+02
211.73 1.608966e+02
211.84 1.594092e+02
211.84 1.579361e+02
211.84 1.561541e+02
211.94 1.535973e+02
212.05 1.521774e+02
212.05 1.507711e+02
212.05 1.490699e+02
212.16 1.466292e+02
212.16 1.452742e+02
212.26 1.439312e+02
212.26 1.426011e+02
212.26 1.409921e+02
212.37 1.386837e+02
212.47 1.374016e+02
212.47 1.361319e+02
212.48 1.345959e+02
212.58 1.323921e+02
212.68 1.311682e+02
212.69 1.299561e+02
212.69 1.284898e+02
212.79 1.263860e+02
212.79 1.252180e+02
212.90 1.240605e+02
212.90 1.229140e+02
212.90 1.215271e+02
213.00 1.195374e+02
213.11 1.184323e+02
213.11 1.173379e+02
213.11 1.160139e+02
213.22 1.141144e+02
213.32 1.130595e+02
213.32 1.120147e+02
213.32 1.107508e+02
213.43 1.089375e+02
213.43 1.079308e+02
213.53 1.069330e+02
213.53 1.059448e+02
213.54 1.047494e+02
213.64 1.030344e+02
213.74 1.020819e+02
213.75 1.011385e+02
213.75 9.999737e+01
213.85 9.836011e+01
213.96 9.745082e+01
213.96 9.655026e+01
213.96 9.546087e+01
214.06 9.389789e+01
