# Wavelength SO3[2-] Molar Decadic Absorption Coefficient 
#  (nm)   (M$^{-1}$cm$^{-1}$)
200.34 3.199067e+03
200.55 3.228885e+03
200.70 3.243893e+03
200.96 3.274122e+03
201.16 3.289334e+03
201.36 3.319992e+03
201.51 3.335423e+03
201.77 3.366505e+03
201.98 3.382147e+03
202.12 3.397867e+03
202.53 3.429514e+03
202.94 3.461456e+03
203.30 3.493701e+03
203.55 3.493672e+03
203.92 3.509886e+03
204.12 3.526193e+03
204.33 3.526170e+03
204.53 3.526146e+03
204.74 3.526123e+03
204.94 3.526099e+03
205.15 3.526075e+03
205.35 3.526052e+03
205.56 3.526028e+03
205.76 3.526004e+03
205.97 3.525981e+03
206.17 3.525957e+03
206.38 3.525934e+03
206.58 3.509580e+03
206.79 3.493303e+03
206.99 3.493280e+03
207.20 3.493256e+03
207.40 3.460951e+03
207.61 3.460928e+03
207.82 3.428922e+03
208.02 3.428899e+03
208.23 3.397189e+03
208.43 3.397166e+03
208.64 3.365750e+03
208.84 3.365728e+03
209.05 3.334602e+03
209.26 3.303764e+03
209.46 3.303742e+03
209.67 3.273190e+03
209.87 3.242920e+03
210.12 3.212925e+03
210.39 3.183207e+03
210.59 3.153769e+03
210.80 3.124603e+03
211.01 3.095708e+03
211.11 3.067089e+03
211.32 3.038725e+03
211.52 3.010624e+03
211.73 2.982782e+03
211.83 2.962839e+03
211.94 2.927888e+03
212.14 2.900812e+03
212.25 2.881417e+03
212.35 2.847427e+03
212.56 2.821094e+03
212.76 2.795005e+03
212.76 2.769176e+03
212.97 2.743567e+03
212.97 2.718214e+03
213.18 2.693076e+03
213.38 2.668171e+03
213.39 2.643514e+03
213.59 2.619067e+03
213.59 2.594864e+03
213.80 2.558961e+03
214.01 2.523554e+03
214.21 2.500217e+03
214.21 2.477112e+03
214.42 2.454204e+03
214.42 2.431524e+03
214.63 2.409038e+03
214.63 2.386775e+03
214.84 2.353751e+03
215.04 2.331984e+03
215.04 2.310434e+03
215.25 2.278466e+03
215.46 2.257395e+03
215.46 2.236534e+03
215.67 2.215851e+03
215.67 2.195374e+03
215.87 2.175072e+03
215.87 2.154971e+03
216.08 2.135043e+03
216.08 2.115312e+03
216.29 2.095750e+03
216.29 2.076383e+03
216.50 2.057181e+03
216.70 2.038157e+03
216.70 2.019322e+03
216.91 2.000647e+03
216.91 1.982159e+03
217.12 1.963828e+03
217.12 1.945680e+03
217.32 1.927687e+03
217.33 1.909873e+03
217.53 1.892211e+03
217.53 1.874725e+03
217.74 1.857387e+03
217.74 1.840223e+03
217.95 1.823205e+03
217.95 1.806356e+03
218.15 1.789652e+03
218.16 1.773113e+03
218.36 1.756716e+03
218.47 1.744970e+03
218.57 1.724386e+03
218.67 1.712856e+03
218.78 1.692651e+03
218.88 1.681334e+03
218.99 1.661500e+03
219.09 1.650391e+03
219.19 1.630923e+03
