"2021-10-05_longtermsulfite_144836 - RawData"
"Wavelength nm.","Abs."
190.00,2.86873
191.00,2.98465
192.00,3.28879
193.00,3.27364
194.00,3.42851
195.00,3.41138
196.00,3.62485
197.00,3.69141
198.00,3.59969
199.00,3.68820
200.00,3.75725
201.00,3.71655
202.00,3.74966
203.00,3.74324
204.00,3.78758
205.00,3.87566
206.00,3.76430
207.00,3.84674
208.00,3.81671
209.00,3.76042
210.00,3.86902
211.00,3.88339
212.00,3.89853
213.00,3.86505
214.00,3.89629
215.00,3.82515
216.00,3.88695
217.00,3.89192
218.00,3.88562
219.00,3.85492
220.00,3.90558
221.00,3.89601
222.00,3.83830
223.00,3.86011
224.00,3.82533
225.00,3.84918
226.00,3.82976
227.00,3.80209
228.00,3.79233
229.00,3.86108
230.00,3.79810
231.00,3.78992
232.00,3.81229
233.00,3.83406
234.00,3.85127
235.00,3.79056
236.00,3.76959
237.00,3.78377
238.00,3.77426
239.00,3.74184
240.00,3.72638
241.00,3.70706
242.00,3.71683
243.00,3.66295
244.00,3.65421
245.00,3.63783
246.00,3.56245
247.00,3.53484
248.00,3.48891
249.00,3.32295
250.00,2.98651
251.00,2.60788
252.00,2.25110
253.00,1.93585
254.00,1.65068
255.00,1.41521
256.00,1.21074
257.00,1.03517
258.00,0.88228
259.00,0.75542
260.00,0.64864
261.00,0.55151
262.00,0.47205
263.00,0.40979
264.00,0.35052
265.00,0.30040
266.00,0.26064
267.00,0.22801
268.00,0.19763
269.00,0.17287
270.00,0.15311
271.00,0.13560
272.00,0.12112
273.00,0.10971
274.00,0.09943
275.00,0.09074
276.00,0.08386
277.00,0.07817
278.00,0.07317
279.00,0.06871
280.00,0.06526
281.00,0.06224
282.00,0.05960
283.00,0.05742
284.00,0.05547
285.00,0.05376
286.00,0.05228
287.00,0.05098
288.00,0.04982
289.00,0.04872
290.00,0.04779
291.00,0.04688
292.00,0.04602
293.00,0.04526
294.00,0.04451
295.00,0.04376
296.00,0.04321
297.00,0.04274
298.00,0.04222
299.00,0.04190
300.00,0.04153
301.00,0.04126
302.00,0.04095
303.00,0.04071
304.00,0.04051
305.00,0.04027
306.00,0.03976
307.00,0.03954
308.00,0.03932
309.00,0.03920
310.00,0.03906
311.00,0.03889
312.00,0.03880
313.00,0.03865
314.00,0.03860
315.00,0.03854
316.00,0.03835
317.00,0.03828
318.00,0.03819
319.00,0.03804
320.00,0.03796
321.00,0.03790
322.00,0.03778
323.00,0.03770
324.00,0.03760
325.00,0.03751
326.00,0.03755
327.00,0.03745
328.00,0.03735
329.00,0.03726
330.00,0.03722
331.00,0.03716
332.00,0.03703
333.00,0.03696
334.00,0.03690
335.00,0.03688
336.00,0.03687
337.00,0.03670
338.00,0.03659
339.00,0.03658
340.00,0.03651
341.00,0.03659
342.00,0.03648
343.00,0.03642
344.00,0.03627
345.00,0.03630
346.00,0.03630
347.00,0.03632
348.00,0.03616
349.00,0.03618
350.00,0.03600
351.00,0.03598
352.00,0.03589
353.00,0.03596
354.00,0.03581
355.00,0.03584
356.00,0.03572
357.00,0.03564
358.00,0.03568
359.00,0.03564
360.00,0.03542
