"2022-04-19_longtermsulfite_132216 - RawData"
"Wavelength nm.","Abs."
190.00,2.83321
191.00,3.37137
192.00,3.39619
193.00,3.38390
194.00,3.54761
195.00,3.58020
196.00,3.70563
197.00,3.77902
198.00,3.78081
199.00,3.86784
200.00,3.80379
201.00,3.81874
202.00,3.79051
203.00,3.83661
204.00,3.87807
205.00,3.87767
206.00,3.89738
207.00,3.88071
208.00,3.89494
209.00,3.94244
210.00,3.85086
211.00,3.90324
212.00,3.80969
213.00,3.83958
214.00,3.85350
215.00,3.91634
216.00,3.84892
217.00,3.90121
218.00,3.86449
219.00,3.89040
220.00,3.83736
221.00,3.90157
222.00,3.83966
223.00,3.81238
224.00,3.82167
225.00,3.81619
226.00,3.81808
227.00,3.74614
228.00,3.78928
229.00,3.83032
230.00,3.78694
231.00,3.77597
232.00,3.76921
233.00,3.75192
234.00,3.77075
235.00,3.78162
236.00,3.70895
237.00,3.74173
238.00,3.72357
239.00,3.72357
240.00,3.68208
241.00,3.65891
242.00,3.65549
243.00,3.62038
244.00,3.59531
245.00,3.60197
246.00,3.52510
247.00,3.50914
248.00,3.49539
249.00,3.34384
250.00,3.07970
251.00,2.69705
252.00,2.33173
253.00,2.00055
254.00,1.69504
255.00,1.44327
256.00,1.22673
257.00,1.03979
258.00,0.87659
259.00,0.74176
260.00,0.63086
261.00,0.53065
262.00,0.44931
263.00,0.38440
264.00,0.32317
265.00,0.27243
266.00,0.23201
267.00,0.19904
268.00,0.16939
269.00,0.14558
270.00,0.12672
271.00,0.11028
272.00,0.09705
273.00,0.08687
274.00,0.07793
275.00,0.07057
276.00,0.06491
277.00,0.06038
278.00,0.05656
279.00,0.05334
280.00,0.05083
281.00,0.04878
282.00,0.04704
283.00,0.04572
284.00,0.04453
285.00,0.04364
286.00,0.04297
287.00,0.04230
288.00,0.04173
289.00,0.04124
290.00,0.04085
291.00,0.04041
292.00,0.04008
293.00,0.03976
294.00,0.03944
295.00,0.03917
296.00,0.03897
297.00,0.03885
298.00,0.03867
299.00,0.03857
300.00,0.03850
301.00,0.03835
302.00,0.03819
303.00,0.03809
304.00,0.03795
305.00,0.03789
306.00,0.03754
307.00,0.03746
308.00,0.03737
309.00,0.03725
310.00,0.03720
311.00,0.03712
312.00,0.03709
313.00,0.03699
314.00,0.03693
315.00,0.03682
316.00,0.03683
317.00,0.03673
318.00,0.03671
319.00,0.03664
320.00,0.03667
321.00,0.03658
322.00,0.03654
323.00,0.03642
324.00,0.03650
325.00,0.03636
326.00,0.03633
327.00,0.03629
328.00,0.03622
329.00,0.03618
330.00,0.03616
331.00,0.03609
332.00,0.03612
333.00,0.03606
334.00,0.03612
335.00,0.03598
336.00,0.03598
337.00,0.03590
338.00,0.03587
339.00,0.03581
340.00,0.03580
341.00,0.03572
342.00,0.03569
343.00,0.03564
344.00,0.03571
345.00,0.03552
346.00,0.03552
347.00,0.03555
348.00,0.03558
349.00,0.03537
350.00,0.03551
351.00,0.03548
352.00,0.03534
353.00,0.03545
354.00,0.03535
355.00,0.03545
356.00,0.03531
357.00,0.03528
358.00,0.03514
359.00,0.03513
360.00,0.03566
