# Pure H2O (Via Quickenden+1980, Krockel+2014)
# Wavelength (nm), Total Extinction (cm**-1), Rayleigh Scattering (cm**-1), Absorption (cm**-1), Err (cm**-1)
223.0 7.140000e-04 1.026506e-04 6.113494e-04 1.700000e-05
224.0 7.000000e-04 1.008298e-04 5.991702e-04 8.000000e-06
225.0 6.500000e-04 9.904920e-05 5.509508e-04 3.000000e-06
226.0 6.690000e-04 9.730772e-05 5.716923e-04 1.600000e-05
227.0 6.430000e-04 9.560434e-05 5.473957e-04 1.600000e-05
228.0 6.150000e-04 9.393807e-05 5.210619e-04 1.500000e-05
229.0 6.000000e-04 9.230795e-05 5.076920e-04 2.200000e-05
230.0 5.950000e-04 9.071303e-05 5.042870e-04 6.000000e-06
231.0 5.780000e-04 8.915242e-05 4.888476e-04 4.000000e-06
232.0 5.420000e-04 8.762522e-05 4.543748e-04 1.600000e-05
233.0 5.340000e-04 8.613058e-05 4.478694e-04 2.000000e-05
234.0 5.350000e-04 8.466767e-05 4.503323e-04 1.600000e-05
235.0 5.420000e-04 8.323569e-05 4.587643e-04 2.300000e-05
236.0 5.100000e-04 8.183386e-05 4.281661e-04 8.000000e-06
237.0 4.930000e-04 8.046141e-05 4.125386e-04 1.200000e-05
238.0 4.520000e-04 7.911762e-05 3.728824e-04 1.000000e-05
239.0 4.710000e-04 7.780176e-05 3.931982e-04 1.300000e-05
240.0 4.830000e-04 7.651315e-05 4.064869e-04 1.700000e-05
241.0 4.680000e-04 7.525110e-05 3.927489e-04 2.300000e-05
242.0 4.390000e-04 7.401497e-05 3.649850e-04 1.000000e-05
243.0 4.190000e-04 7.280412e-05 3.461959e-04 9.000000e-06
244.0 4.050000e-04 7.161792e-05 3.333821e-04 1.700000e-05
245.0 3.920000e-04 7.045579e-05 3.215442e-04 2.000000e-06
246.0 3.990000e-04 6.931714e-05 3.296829e-04 1.600000e-05
247.0 4.010000e-04 6.820139e-05 3.327986e-04 9.000000e-06
248.0 3.920000e-04 6.710800e-05 3.248920e-04 8.000000e-06
249.0 3.900000e-04 6.603644e-05 3.239636e-04 1.600000e-05
250.0 3.760000e-04 6.498618e-05 3.110138e-04 2.100000e-05
251.0 3.360000e-04 6.395672e-05 2.720433e-04 1.100000e-05
252.0 3.510000e-04 6.294756e-05 2.880524e-04 8.000000e-06
253.0 3.590000e-04 6.195822e-05 2.970418e-04 2.000000e-05
254.0 3.480000e-04 6.098825e-05 2.870118e-04 2.100000e-05
255.0 3.260000e-04 6.003718e-05 2.659628e-04 1.300000e-05
256.0 3.230000e-04 5.910459e-05 2.638954e-04 1.700000e-05
257.0 3.230000e-04 5.819003e-05 2.648100e-04 1.800000e-05
258.0 3.060000e-04 5.729309e-05 2.487069e-04 1.100000e-05
259.0 3.280000e-04 5.641336e-05 2.715866e-04 1.100000e-05
260.0 3.080000e-04 5.555046e-05 2.524495e-04 1.300000e-05
261.0 3.310000e-04 5.470399e-05 2.762960e-04 1.600000e-05
262.0 2.790000e-04 5.387358e-05 2.251264e-04 1.300000e-05
263.0 2.850000e-04 5.305888e-05 2.319411e-04 8.000000e-06
264.0 2.730000e-04 5.225951e-05 2.207405e-04 2.200000e-05
265.0 2.510000e-04 5.147514e-05 1.995249e-04 1.400000e-05
266.0 2.640000e-04 5.070543e-05 2.132946e-04 1.800000e-05
