"2022-01-18_longtermsulfite_111018 - RawData"
"Wavelength nm.","Abs."
190.00,2.72777
191.00,3.04591
192.00,3.14610
193.00,3.22197
194.00,3.30815
195.00,3.33382
196.00,3.35977
197.00,3.47694
198.00,3.50583
199.00,3.56644
200.00,3.58757
201.00,3.61688
202.00,3.57742
203.00,3.73219
204.00,3.59825
205.00,3.67311
206.00,3.66095
207.00,3.66731
208.00,3.67331
209.00,3.65344
210.00,3.65977
211.00,3.73550
212.00,3.60249
213.00,3.64160
214.00,3.65921
215.00,3.63448
216.00,3.61269
217.00,3.60559
218.00,3.60464
219.00,3.61491
220.00,3.63631
221.00,3.63065
222.00,3.50325
223.00,3.46896
224.00,3.46506
225.00,3.44788
226.00,3.47334
227.00,3.44196
228.00,3.43832
229.00,3.40913
230.00,3.40280
231.00,3.34354
232.00,3.28268
233.00,3.14772
234.00,2.93407
235.00,2.66910
236.00,2.40794
237.00,2.15752
238.00,1.92044
239.00,1.70613
240.00,1.51299
241.00,1.33330
242.00,1.17137
243.00,1.02917
244.00,0.89812
245.00,0.78018
246.00,0.67783
247.00,0.58902
248.00,0.51004
249.00,0.44243
250.00,0.38490
251.00,0.33334
252.00,0.29034
253.00,0.25330
254.00,0.22008
255.00,0.19284
256.00,0.16927
257.00,0.14931
258.00,0.13193
259.00,0.11758
260.00,0.10558
261.00,0.09470
262.00,0.08571
263.00,0.07869
264.00,0.07196
265.00,0.06630
266.00,0.06177
267.00,0.05811
268.00,0.05475
269.00,0.05203
270.00,0.04982
271.00,0.04790
272.00,0.04631
273.00,0.04510
274.00,0.04398
275.00,0.04303
276.00,0.04231
277.00,0.04173
278.00,0.04117
279.00,0.04066
280.00,0.04025
281.00,0.03987
282.00,0.03958
283.00,0.03931
284.00,0.03903
285.00,0.03883
286.00,0.03870
287.00,0.03850
288.00,0.03830
289.00,0.03810
290.00,0.03796
291.00,0.03781
292.00,0.03761
293.00,0.03751
294.00,0.03737
295.00,0.03714
296.00,0.03703
297.00,0.03697
298.00,0.03685
299.00,0.03676
300.00,0.03670
301.00,0.03662
302.00,0.03654
303.00,0.03648
304.00,0.03636
305.00,0.03630
306.00,0.03612
307.00,0.03604
308.00,0.03603
309.00,0.03589
310.00,0.03584
311.00,0.03578
312.00,0.03578
313.00,0.03564
314.00,0.03566
315.00,0.03563
316.00,0.03561
317.00,0.03557
318.00,0.03557
319.00,0.03540
320.00,0.03546
321.00,0.03543
322.00,0.03537
323.00,0.03531
324.00,0.03517
325.00,0.03514
326.00,0.03517
327.00,0.03516
328.00,0.03516
329.00,0.03502
330.00,0.03499
331.00,0.03500
332.00,0.03499
333.00,0.03493
334.00,0.03497
335.00,0.03490
336.00,0.03481
337.00,0.03490
338.00,0.03477
339.00,0.03471
340.00,0.03482
341.00,0.03470
342.00,0.03459
343.00,0.03462
344.00,0.03452
345.00,0.03464
346.00,0.03450
347.00,0.03447
348.00,0.03456
349.00,0.03445
350.00,0.03448
351.00,0.03444
352.00,0.03448
353.00,0.03442
354.00,0.03430
355.00,0.03421
356.00,0.03433
357.00,0.03427
358.00,0.03427
359.00,0.03453
360.00,0.03412
