X3	1.462946e+15	7.086295e-11
X53	3.867649e+21	1.873432e-04
X1	7.456507e+17	3.611822e-08
X56	2.185956e+08	1.058845e-17
X54	2.101800e+19	1.018081e-06
X2	2.016322e+15	9.766766e-11
X4	1.944025e+12	9.416570e-14
X5	5.392162e+13	2.611884e-12
X7	4.486294e+22	2.173095e-03
X6	1.414774e+14	6.852959e-12
X52	2.064425e+24	9.999772e-02
X20	1.443959e+20	6.994325e-06
X22	1.896319e+14	9.185489e-12
X61	9.445191e+12	4.575112e-13
X19	5.512036e+13	2.669949e-12
X58	9.386801e+04	4.546829e-21
X59	3.008307e+04	1.457180e-21
X80	1.276422e+07	6.182801e-19
X60	2.652956e+10	1.285053e-15
X21	4.602114e+19	2.229196e-06
X62	7.119410e+08	3.448538e-17
X24	1.995264e+14	9.664764e-12
X63	4.212649e+15	2.040545e-10
X23	4.148478e+05	2.009462e-20
X71	9.401853e+03	4.554119e-22
X25	3.621207e+06	1.754059e-19
X26	1.447136e-33	7.009714e-59
X64	3.656215e+00	1.771017e-25
X27	5.442101e+07	2.636074e-18
X28	2.107664e+03	1.020921e-22
X29	9.961800e+10	4.825350e-15
X30	5.192306e+10	2.515077e-15
X31	1.202586e+17	5.825152e-09
X32	1.671228e+07	8.095183e-19
X33	3.634670e+11	1.760581e-14
X34	7.504655e+09	3.635144e-16
X35	5.389043e+12	2.610373e-13
X36	1.766899e+09	8.558597e-17
X40	4.423528e+12	2.142692e-13
X41	1.244931e+12	6.030261e-14
X76	6.605258e+08	3.199490e-17
X77	1.013393e+10	4.908726e-16
X42	1.410961e+15	6.834489e-11
X43	5.627935e+15	2.726089e-10
X74	1.541887e+04	7.468672e-22
X75	1.049946e+05	5.085785e-21
X44	1.363155e+11	6.602921e-15
X45	5.200467e+14	2.519030e-11
X46	5.820056e+12	2.819150e-13
X47	1.344871e+12	6.514359e-14
X48	5.244293e+13	2.540259e-12
X68	8.231605e+11	3.987269e-14
X73	9.312305e+13	4.510743e-12
X78	4.226488e+15	2.047249e-10
X79	2.139019e+14	1.036110e-11
X111	3.312532e+14	1.604542e-11
X8	1.274040e+10	6.171263e-16
X9	1.596982e+07	7.735544e-19
X10	6.871711e+05	3.328556e-20
X57	4.038126e+04	1.956009e-21
X11	1.186621e+13	5.747817e-13
X12	1.415539e+16	6.856665e-10
X13	1.970044e+14	9.542601e-12
X14	2.566253e+11	1.243055e-14
X15	5.479011e+11	2.653952e-14
X16	2.771859e+15	1.342648e-10
X17	1.006938e+13	4.877461e-13
X18	1.856990e+13	8.994988e-13
X70	2.262867e+13	1.096100e-12
X37	1.448295e+10	7.015329e-16
X38	7.585352e-02	3.674233e-27
X39	1.075524e-01	5.209682e-27
X72	3.277326e+08	1.587489e-17
X65	2.804157e+11	1.358293e-14
X66	6.006100e+10	2.909267e-15
X109	1.619457e+05	7.844414e-21
X67	2.590094e-04	1.254603e-29
X110	1.327475e+00	6.430094e-26
X106	3.183535e-11	1.542058e-36
X107	1.202795e+01	5.826165e-25
X108	4.045047e-01	1.959361e-26
X49	2.413813e+01	1.169215e-24
X50	1.115001e-15	5.400903e-41
X51	0.000000e+00	0.000000e+00
X69	0.000000e+00	0.000000e+00
